player,team_id,yr,prediction
"Snell,Tony",CHI,2015,3
"Stauskas,Nik",SAC,2015,3
"Stephenson,Lance",CHO,2015,3
"Terry,Jason",HOU,2015,3
"Thompson,Hollis",PHI,2015,3
"Tolliver,Anthony",TOT,2015,3
"Tolliver,Anthony",DET,2015,3
"Tucker,P.J.",PHO,2015,3
"Udrih,Beno",MEM,2015,3
"Vasquez,Greivis",TOR,2015,3
"Walker,Henry",MIA,2015,3
"Watson,C.J.",IND,2015,3
"Williams,Marvin",CHO,2015,3
"Williams,Shawne",TOT,2015,3
"Williams,Shawne",MIA,2015,3
"Ariza,Trevor",HOU,2016,3
"Augustin,D.J.",TOT,2016,3
"Augustin,D.J.",OKC,2016,3
"Augustin,D.J.",DEN,2016,3
"Barnes,Matt",MEM,2016,3
"Batum,Nicolas",CHO,2016,3
"Bayless,Jerryd",MIL,2016,3
"Bazemore,Kent",ATL,2016,3
"Beverley,Patrick",HOU,2016,3
"Bjelica,Nemanja",MIN,2016,3
"Blake,Steve",DET,2016,3
"Brewer,Corey",HOU,2016,3
"Brown,Anthony",LAL,2016,3
"Brown,Markel",BRK,2016,3
"Calderon,Jose",NYK,2016,3
"Chalmers,Mario",TOT,2016,3
"Chalmers,Mario",MIA,2016,3
"Chalmers,Mario",MEM,2016,3
"Cole,Norris",NOP,2016,3
"Cunningham,Dante",NOP,2016,3
"Dejean-Jones,Bryce",NOP,2016,3
"Dellavedova,Matthew",CLE,2016,3
"Douglas,Toney",NOP,2016,3
"Dudley,Jared",WAS,2016,3
"Dukan,Duje",SAC,2016,3
"Dunleavy,Mike",CHI,2016,3
"Farmar,Jordan",MEM,2016,3
"Foye,Randy",TOT,2016,3
"Foye,Randy",DEN,2016,3
"Foye,Randy",OKC,2016,3
"Frazier,Tim",NOP,2016,3
"Frye,Channing",TOT,2016,3
"Frye,Channing",ORL,2016,3
"Frye,Channing",CLE,2016,3
"Galloway,Langston",NYK,2016,3
"Gee,Alonzo",NOP,2016,3
"Green,Danny",SAS,2016,3
"Hairston,P.J.",TOT,2016,3
"Hairston,P.J.",CHO,2016,3
"Hairston,P.J.",MEM,2016,3
"Harris,Devin",DAL,2016,3
"Hezonja,Mario",ORL,2016,3
"Hill,George",IND,2016,3
"Hinrich,Kirk",CHI,2016,3
"Holiday,Justin",CHI,2016,3
"Huertas,Marcelo",LAL,2016,3
"Iguodala,Andre",GSW,2016,3
"Ingles,Joe",UTA,2016,3
"Jefferson,Richard",CLE,2016,3
"Jennings,Brandon",TOT,2016,3
"Jennings,Brandon",DET,2016,3
"Jennings,Brandon",ORL,2016,3
"Johnson,Tyler",MIA,2016,3
"Johnson,Wesley",LAC,2016,3
"Jones,Tyus",MIN,2016,3
"Kilpatrick,Sean",TOT,2016,3
"Kilpatrick,Sean",BRK,2016,3
"Korver,Kyle",ATL,2016,3
"Larkin,Shane",BRK,2016,3
"Lawson,Ty",TOT,2016,3
"Lawson,Ty",HOU,2016,3
"Lawson,Ty",IND,2016,3
"Lee,Courtney",TOT,2016,3
"Lee,Courtney",MEM,2016,3
"Lee,Courtney",CHO,2016,3
"Mack,Shelvin",TOT,2016,3
"Mack,Shelvin",UTA,2016,3
"Matthews,Wesley",DAL,2016,3
"Mayo,O.J.",MIL,2016,3
"Mbah a Moute,Luc",LAC,2016,3
"McCallum,Ray",MEM,2016,3
"McCullough,Chris",BRK,2016,3
"Munford,Xavier",MEM,2016,3
"Nelson,Jameer",DEN,2016,3
"Neto,Raul",UTA,2016,3
"Patterson,Patrick",TOR,2016,3
"Price,Ronnie",PHO,2016,3
"Prince,Tayshaun",MIN,2016,3
"Richardson,Josh",MIA,2016,3
"Rivers,Austin",LAC,2016,3
"Roberson,Andre",OKC,2016,3
"Sefolosha,Thabo",ATL,2016,3
"Shumpert,Iman",CLE,2016,3
"Sloan,Donald",BRK,2016,3
"Smart,Marcus",BOS,2016,3
"Smith,J.R.",CLE,2016,3
"Snell,Tony",CHI,2016,3
"Stauskas,Nik",PHI,2016,3
"Stephenson,Lance",TOT,2016,3
"Stephenson,Lance",LAC,2016,3
"Stephenson,Lance",MEM,2016,3
"Temple,Garrett",WAS,2016,3
"Terry,Jason",HOU,2016,3
"Thompson,Hollis",PHI,2016,3
"Tolliver,Anthony",DET,2016,3
"Tucker,P.J.",PHO,2016,3
"Udrih,Beno",TOT,2016,3
"Udrih,Beno",MIA,2016,3
