Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
61,K. Faried | G. Harris | N. Jokic | E. Mudiay | J. Sampson,DEN,2015-16,15,192.9,374,371,92.7,20,2,0.056,0,-8,0.035,0.056,3,3,0.01,43
62,L. Deng | G. Dragic | J. Richardson | H. Whiteside | J. Winslow,MIA,2015-16,23,189.8,379,382,96.2,15,-8,0.055,-6,-12,-0.016,0.047,5,15,-0.051,29
63,C. Aldrich | J. Crawford | W. Johnson | P. Prigioni | A. Rivers,LAC,2015-16,24,186.6,365,370,94.6,-25,-1,-0.078,-4,20,-0.103,-0.085,-12,-23,0.081,-66
64,L. Aldridge | D. Green | K. Leonard | T. Parker | D. West,SAS,2015-16,28,185.4,357,354,92.1,11,19,0.006,1,-11,0.068,0.006,-5,-8,0.024,18
65,O. Casspi | D. Cousins | R. Gay | B. McLemore | R. Rondo,SAC,2015-16,23,178.2,376,367,100.1,11,-13,0.052,-8,-34,0.041,0.042,6,15,-0.063,20
66,T. Hardaway | A. Horford | D. Schroder | M. Scott | T. Sefolosha,ATL,2015-16,40,177.5,342,349,93.4,21,-5,0.075,14,10,0.109,0.098,2,-1,0.041,58
67,E. Bledsoe | T. Chandler | B. Knight | M. Morris | P. Tucker,PHO,2015-16,13,177,361,359,97.6,2,8,-0.005,-1,-12,0.045,-0.008,25,17,0.188,28
68,A. Aminu | M. Leonard | D. Lillard | C. McCollum | M. Plumlee,POR,2015-16,28,175.2,346,346,94.8,-12,-24,-0.002,24,37,0.101,0.042,16,18,0.019,16
69,H. Barnes | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,2015-16,37,172.9,374,384,105.2,53,-30,0.212,51,47,0.267,0.299,-1,-2,0.005,156
70,K. Caldwell-Pope | A. Drummond | R. Jackson | M. Morris | A. Tolliver,DET,2015-16,53,168.9,332,327,93.7,15,16,0.026,9,15,0.053,0.039,-6,12,-0.165,33
